type,limit,total
physpreset,276,21
physconstraints,159,2
destructibledef,128,0
xanim,25000,701
xmodel,10240,652
xmodelmesh,34816,3467
material,20480,1449
computeshaderset,256,0
techset,1024,131
image,49152,2464
sound,32,1
sound_patch,16,0
col_map,2,1
com_map,2,1
game_map,2,1
map_ents,2,1
gfx_map,2,1
lightdef,32,0
lensflaredef,64,0
ui_map,0,0
font,16,0
fonticon,16,0
localize,25600,0
weapon,1536,2
weapondef,0,0
weaponvariant,0,0
weaponfull,0,0
cgmediatable,5,0
playersoundstable,16,0
playerfxtable,16,0
sharedweaponsounds,64,0
attachment,128,0
attachmentunique,2148,0
weaponcamo,512,0
customizationtable,8,0
customizationtable_feimages,8,0
customizationtablecolor,1024,0
snddriverglobals,1,0
fx,1875,64
tagfx,64,0
klf,64,3
impactsfxtable,256,0
impactsoundstable,64,1
player_character,8,0
aitype,96,2
character,150,5
xmodelalias,48,1
rawfile,5000,0
stringtable,200,0
structuredtable,96,0
leaderboarddef,256,0
ddl,64,0
glasses,2,1
texturelist,8,0
scriptparsetree,1024,3
keyvaluepairs,64,1
vehicle,64,0
addon_map_ents,1,0
tracer,100,0
slug,5,0
surfacefxtable,64,3
surfacesounddef,256,15
footsteptable,32,2
entityfximpacts,256,0
entitysoundimpacts,256,1
zbarrier,16,4
vehiclefxdef,32,0
vehiclesounddef,32,0
typeinfo,0,0
scriptbundle,1024,3
scriptbundlelist,64,0
rumble,256,0
bulletpenetration,1,0
locdmgtable,1,0
aimtable,12,1
animselectortable,64,2
animmappingtable,64,2
animstatemachine,64,2
behaviortree,64,2
behaviorstatemachine,128,0
ttf,48,0
sanim,1024,0
lightdescription,500,5
shellshock,64,0
xcam,512,0
bgcache,32,1
texturecombo,16,1
flametable,16,0
bitfield,52,0
attachmentcosmeticvariant,640,1
maptable,25,0
maptableloadingimages,25,0
medal,768,0
medaltable,32,0
objective,256,0
objectivelist,64,0
umbra_tome,0,0
navmesh,2,1
navvolume,2,1
binaryhtml,2048,0
laser,50,0
beam,50,0
streamerhint,50,0
